barcode,name,brand,category,subcategory,ingredients,allergens,retailer,price,promo_price,original_price,promo_text,stock_status,product_url,image_url,source_type,source_url
5051594006829,Aptamil 2 Follow On Baby Milk Formula Powder 6-12 Months 800g,Aptamil,Baby & Toddler,Formula Milk,Dairy-based blend; Lactose from milk; Vegetable oils; Skimmed milk; Demineralised whey from milk; Fish oil; Galacto-oligosaccharides; Fructo-oligosaccharides; Soy lecithin; Vitamins; Minerals,Milk; Fish; Soy,Sainsbury's,13.5,,,,in_stock,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/follow-on-milk-6-month/follow-on-milk-6-month,,manual_csv,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/follow-on-milk-6-month/follow-on-milk-6-month
5051594006874,Cow & Gate 1 First Infant Baby Milk Formula Powder from Birth 800g,Cow & Gate,Baby & Toddler,Formula Milk,Lactose from milk; Vegetable oils; Skimmed milk; Demineralised whey from milk; Whey concentrate from milk; Galacto-oligosaccharides; Fructo-oligosaccharides; Fish oil; Soy lecithin; Vitamins; Minerals,Milk; Fish; Soy,Sainsbury's,9.3,,,,in_stock,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/baby-milk---drinks/first-milk-0-to-12-months-323370-44,,manual_csv,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/baby-milk---drinks/first-milk-0-to-12-months-323370-44
5051594006881,Cow & Gate 2 Follow On Baby Milk Formula Powder 6-12 Months 800g,Cow & Gate,Baby & Toddler,Formula Milk,Lactose from milk; Vegetable oils; Skimmed milk; Demineralised whey from milk; Galacto-oligosaccharides; Whey concentrate from milk; Cow's milk protein; Fish oil; Fructo-oligosaccharides; Soy lecithin; Vitamins; Minerals,Milk; Fish; Soy,Sainsbury's,11.0,,,,in_stock,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/follow-on-milk-6-month/follow-on-milk-6-month,,manual_csv,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/follow-on-milk-6-month/follow-on-milk-6-month
4062300139008,"HiPP Organic 1 First Infant Baby Milk Powder Formula, From Birth, 800g",HiPP Organic,Baby & Toddler,Formula Milk,Organic skimmed milk; Organic whey product; Organic vegetable oils; Organic lactose; Organic galacto-oligosaccharides; Fish oil; Mortierella alpina oil; Vitamins; Minerals,Milk; Fish,Sainsbury's,13.5,,,,in_stock,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/baby-milk---drinks/first-milk-0-to-12-months-323370-44,,manual_csv,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/baby-milk---drinks/first-milk-0-to-12-months-323370-44
4062300460492,"HiPP Organic 2 Follow on Baby Milk Powder Formula, From 6 Months, 800g",HiPP Organic,Baby & Toddler,Formula Milk,Organic skimmed milk; Organic lactose; Organic vegetable oils; Organic whey product; Organic galacto-oligosaccharides; Fish oil; Vitamins; Minerals,Milk; Fish,Sainsbury's,13.5,,,,in_stock,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/follow-on-milk-6-month/follow-on-milk-6-month,,manual_csv,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/follow-on-milk-6-month/follow-on-milk-6-month
5056000505910,Kendamil Classic First Infant Milk Stage 1 800g,Kendamil,Baby & Toddler,Formula Milk,"Whole milk; Skimmed milk; Lactose (milk); Vegetable oils (sunflower, coconut, rapeseed); Demineralised whey powder (milk); Galacto-oligosaccharides (milk); Whey protein concentrate alpha-lactalbumin (milk); Fructo-oligosaccharides; DHA from microalgae oil; ARA from Mortierella alpina oil; Vitamins; Minerals",Milk,Sainsbury's,11.35,,,,in_stock,https://www.sainsburys.co.uk/gol-ui/product/kendamil-first-infant-milk-1-from-birth-800g,,manual_csv,https://www.sainsburys.co.uk/gol-ui/product/kendamil-first-infant-milk-1-from-birth-800g
5056000502926,Kendamil Organic First Infant Milk Stage 1 800g,Kendamil,Baby & Toddler,Formula Milk,"Organic whole milk; Organic demineralised milk whey protein powder; Organic skimmed milk; Organic vegetable oils (sunflower, coconut, rapeseed); Organic galacto-oligosaccharides (from milk); DHA from microalgae oil; ARA from Mortierella alpina oil; Vitamins; Minerals",Milk,Sainsbury's,12.45,,,,in_stock,https://www.sainsburys.co.uk/gol-ui/product/kendamil-organic-first-infant-milk-stage-1-from-birth-800g,,manual_csv,https://www.sainsburys.co.uk/gol-ui/product/kendamil-organic-first-infant-milk-stage-1-from-birth-800g
7613036926744,Little Steps First Infant Baby Milk Formula Powder from Birth 800g,Little Steps,Baby & Toddler,Formula Milk,Demineralised sweet whey from milk; Skimmed milk; Lactose from milk; Vegetable oils; Oil from Mortierella alpina; Microalgae oil; Soy lecithin; Vitamins; Minerals,Milk; Soy,Sainsbury's,8.43,,,,in_stock,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/baby-milk---drinks/first-milk-0-to-12-months-323370-44,,manual_csv,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/baby-milk---drinks/first-milk-0-to-12-months-323370-44
7613035477872,SMA First Infant Baby Milk Powder Formula From Birth 800g,SMA,Baby & Toddler,Formula Milk,Lactose from milk; Vegetable oils; Skimmed milk; Whey protein; 2'-fucosyllactose; Oil from Mortierella alpina; Microalgae oil; Soy lecithin; Vitamins; Minerals,Milk; Soy,Sainsbury's,13.0,,,,in_stock,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/baby-milk---drinks/first-milk-0-to-12-months-323370-44,,manual_csv,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/baby-milk---drinks/first-milk-0-to-12-months-323370-44
7613035477742,SMA Follow-On Baby Milk Powder Formula 6-12 Months 800g,SMA,Baby & Toddler,Formula Milk,Skimmed milk; Lactose from milk; Vegetable oils; Whey protein from milk; Whey permeate from milk; 2'-fucosyllactose; Microalgae oil; Soy lecithin; Vitamins; Minerals,Milk; Soy,Sainsbury's,13.5,,,,in_stock,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/follow-on-milk-6-month/follow-on-milk-6-month,,manual_csv,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/follow-on-milk-6-month/follow-on-milk-6-month
