barcode,name,brand,category,subcategory,ingredients,allergens,source,source_url,data_confidence,needs_manual_review,notes
4056489438564,Granola Coconut Cashew & Almond,Crownfield,General Food,Uncategorised,"65% Cereals (33% Wholegrain Oat Flakes, 18% Wholegrain Barley Flakes, 7% Whole Rye Flakes, Rice Flour, Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin), Malted Barley Flour), 15% Date Syrup, Rapeseed Oil, Banana Purée, 3% Flaked and Chopped Almonds, 2% Cashew Pieces, 2% Desiccated Coconut, Flavouring, Sunflower Oil.",gluten en:nuts,open_food_facts,https://world.openfoodfacts.org/product/4056489438564/granola-coconut-cashew-almond-crownfield,community,true,no clean SafeBite subcategory mapped
5018357804849,oat granola,dorset cereals,General Food,Uncategorised,"Wholegrain OAT flakes (66%), golden syrup (partially inverted sugar syrup) (22%), vegetable oil (rapeseed and sunflower oil in varying proportions), toasted wholegrain RYE flakes, sunflower seeds (1.5%), natural flavouring.",gluten,open_food_facts,https://world.openfoodfacts.org/product/5018357804849/oat-granola-dorset-cereals,community,true,no clean SafeBite subcategory mapped
5060853640131,Protein Granola Cocoa Hazelnut,Bio and Me,General Food,Uncategorised,"Wholegrain Oats (53%), Dates, Chicory Root Fibre, Seeds (Sunflower, Brown Linseed), Soy Protein Crispie (Isolated Soy Protein), Skin On Hazelnuts (2%), Dried Carrot, Cocoa Powder (2%), Cocoa Paste (2%), Extra Virgin Olive Oil, Quinoa, Natural Flavourings.",soybeans,open_food_facts,https://world.openfoodfacts.org/product/5060853640131/protein-granola-cocoa-hazelnut-bio-and-me,community,true,no clean SafeBite subcategory mapped
5060482841565,Nutty Granola,deliciously ella,General Food,Uncategorised,"Gluten free oats (60%), mixed nuts (13%) (cashews (6%), almonds (4%), hazelnuts (3%)), date syrup, rapeseed oil, maple syrup (4%), sunflower seeds (3%). orange juice (3%), pumpkin seeds (2%)",nuts,open_food_facts,https://world.openfoodfacts.org/product/5060482841565/nutty-granola-deliciously-ella,community,true,no clean SafeBite subcategory mapped
5060043225353,Lizis low sugar granola nuts and seeds,,General Food,Uncategorised,"Wholegrain oat flakes (65%), rapeseed oil, seeds (8%) [pumpkin, sunflower], nuts (7%) [whole almonds, hazelnut pieces], crisped rice (rice flour, wheat flour [wheat flour, calcium carbonate, niacin, iron, thiamine], malted barley flour, sunflower oil), toasted coconut chips, black treacle, agave syrup.",gluten en:nuts,open_food_facts,https://world.openfoodfacts.org/product/5060043225353/lizis-low-sugar-granola-nuts-and-seeds,community,true,no clean SafeBite subcategory mapped
5018357012350,Gloriously nutty muesli,dorset cereals,General Food,Uncategorised,"Wholegrain wheat flakes, nuts (whole almonds 9%, cashew nuts 4%, roasted whole hazelnuts 3.5%, chopped brazil nuts 1.5%), dried fruit 15% (chopped dates, diced dried apricots (apricots, preservative (sulphur dioxide)), raisins, golden raisins (golden raisins, preservative (sulphur dioxide))), wholegrain toasted wheat flakes, barley flakes, wholegrain oat flakes, pumpkin seeds, flavoured oat flakes (oat flakes, natural flavouring).",sulphur-dioxide-and-sulphites,open_food_facts,https://world.openfoodfacts.org/product/5018357012350/gloriously-nutty-muesli-dorset-cereals,community,true,no clean SafeBite subcategory mapped
5010477347312,SIMPLY GRANOLA WITH A HINT OF HONEY,JORDANS,General Food,Uncategorised,"Wholegrain OAT Flakes (81%), Sugar, Vegetable Oil (rapeseed and sunflower in varying proportions), Honey (1%), Sunflower Seeds, Natural Flavouring.",gluten,open_food_facts,https://world.openfoodfacts.org/product/5010477347312/simply-granola-with-a-hint-of-honey-jordans,community,true,no clean SafeBite subcategory mapped
4056489159506,LOW SUGAR Granola ORIGINAL,CROWNFIELD,General Food,Uncategorised,"70% Wholegrain Oat Flakes, 9% Chopped Nuts (Hazelnuts, Almonds, Cashew Nuts, Walnuts), Rapeseed Oil, 4% Pumpkin Seeds, 3% Sunflower Seeds, 2% Desiccated Coconut, Black Treacle, Sugar.",nuts,open_food_facts,https://world.openfoodfacts.org/product/4056489159506/low-sugar-granola-original-crownfield,community,true,no clean SafeBite subcategory mapped
8445291301948,Multigrain Cheerios,Nestlé,General Food,Uncategorised,"whole grain oat flour (31,9%), whole grain wheat flour (29,6%), whole grain barley flour (18,2%), sugar, wheat flour (contains calcium carbonate, vitamin b3, iron, vitamin b1), invert sugar syrup, calcium carbonate, sunflower oil, molasses, salt, caramelised sugar syrup, colours: carotene, annatto norbixin, antioxidant: tocopherols, iron, vitamins c, b3, b5, b9, d, b6, b2",gluten,open_food_facts,https://world.openfoodfacts.org/product/8445291301948/multigrain-cheerios-nestle,community,true,no clean SafeBite subcategory mapped
5059319029702,Rice Krispies,Kellogg's,General Food,Uncategorised,"(EN) TOASTED RICE CEREAL FORTIFIED WITH VITAMINS AND IRON. INGREDIENTS: Rice, sugar, salt, barley malt extract, niacin, iron, vitamin B6, riboflavin, thiamin, folic acid, vitamin D, vitamin B12. For allergens see ingredients highlighted in bold. May contain gluten from other cereals.",gluten,open_food_facts,https://world.openfoodfacts.org/product/5059319029702/rice-krispies-kellogg-s,community,true,no clean SafeBite subcategory mapped
