barcode,name,brand,category,price,promo_price,in_stock,product_url,image_url
4062300139008,"HiPP Organic 1 First Infant Baby Milk Powder Formula, From Birth, 800g",HiPP Organic,Baby & Toddler / Formula Milk,13.50,,true,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/baby-milk---drinks/first-milk-0-to-12-months-323370-44,
7613036926744,Little Steps First Infant Baby Milk Formula Powder from Birth 800g,Little Steps,Baby & Toddler / Formula Milk,8.43,,true,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/baby-milk---drinks/first-milk-0-to-12-months-323370-44,
5051594006829,Aptamil 2 Follow On Baby Milk Formula Powder 6-12 Months 800g,Aptamil,Baby & Toddler / Formula Milk,13.50,,true,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/follow-on-milk-6-month/follow-on-milk-6-month,
5051594006881,Cow & Gate 2 Follow On Baby Milk Formula Powder 6-12 Months 800g,Cow & Gate,Baby & Toddler / Formula Milk,11.00,,true,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/follow-on-milk-6-month/follow-on-milk-6-month,
7613035477742,SMA Follow-On Baby Milk Powder Formula 6-12 Months 800g,SMA,Baby & Toddler / Formula Milk,13.50,,true,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/follow-on-milk-6-month/follow-on-milk-6-month,
4062300460492,"HiPP Organic 2 Follow on Baby Milk Powder Formula, From 6 Months, 800g",HiPP Organic,Baby & Toddler / Formula Milk,13.50,,true,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/follow-on-milk-6-month/follow-on-milk-6-month,
3041091431998,Cow & Gate Banana Porridge 125G,Cow & Gate,Baby & Toddler / Porridge,2.10,1.80,true,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/baby-meals/cereals-44,
3041091427717,Cow & Gate Creamy Porridge Cereal 125g 4 Month+,Cow & Gate,Baby & Toddler / Porridge,2.10,1.80,true,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/baby-meals/cereals-44,
5051594002050,Cow & Gate Multigrain Banana Porridge Baby Cereal 200g,Cow & Gate,Baby & Toddler / Porridge,2.75,2.25,true,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/baby-meals/cereals-44,
5051594008281,Aptamil Creamed Porridge Cereal 125g 4 Month+,Aptamil,Baby & Toddler / Porridge,2.40,2.15,true,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/baby-meals/cereals-44,
5051594008304,Aptamil Creamed Banana Porridge Baby Cereal 125g,Aptamil,Baby & Toddler / Porridge,2.40,2.15,true,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/baby-meals/cereals-44,
5900852921254,Aptamil Multigrain Breakfast Cereal 200g 7 Month+,Aptamil,Baby & Toddler / Porridge,3.20,2.75,true,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/baby-meals/cereals-44,
5051594008342,Aptamil Multigrain Banana & Berry Cereal 200g 7 Month+,Aptamil,Baby & Toddler / Porridge,3.75,2.75,true,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/baby-meals/cereals-44,
5000157079800,Heinz Spaghetti Bolognese Baby Food Pouch 180g,Heinz,Baby & Toddler / Baby Meals,2.00,,true,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/stage-3-10-months-up-,
5000157079893,Heinz Sweet & Sour Chicken Baby Food Pouch 180g,Heinz,Baby & Toddler / Baby Meals,2.00,,true,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/stage-3-10-months-up-,
